src,candidate,root_pct,removed_border_px,removed_loops
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\21-CL-001.jpg,outputs\预标注候选\21-CL-001-mac.tif,0.733,0,11
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\22-CL-003.jpg,outputs\预标注候选\22-CL-003-mac.tif,0.471,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\22-MZ-001.jpg,outputs\预标注候选\22-MZ-001-mac.tif,0.718,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\22-MZ-002.jpg,outputs\预标注候选\22-MZ-002-mac.tif,0.417,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\28-CL-003.jpg,outputs\预标注候选\28-CL-003-mac.tif,0.496,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\28-CL-004.jpg,outputs\预标注候选\28-CL-004-mac.tif,0.334,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\28-FX-001.jpg,outputs\预标注候选\28-FX-001-mac.tif,0.75,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\3004-001.jpg,outputs\预标注候选\3004-001-mac.tif,0.995,0,14
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\3004-002.jpg,outputs\预标注候选\3004-002-mac.tif,0.599,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\3004-003.jpg,outputs\预标注候选\3004-003-mac.tif,0.836,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\31-CL-003.jpg,outputs\预标注候选\31-CL-003-mac.tif,0.419,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\31-QG-001.jpg,outputs\预标注候选\31-QG-001-mac.tif,0.508,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\32-CL-004.jpg,outputs\预标注候选\32-CL-004-mac.tif,0.768,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\32-MZ-001.jpg,outputs\预标注候选\32-MZ-001-mac.tif,0.37,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\32-MZ-002.jpg,outputs\预标注候选\32-MZ-002-mac.tif,0.48,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\34-CL-003.jpg,outputs\预标注候选\34-CL-003-mac.tif,0.481,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\34-CL-004.jpg,outputs\预标注候选\34-CL-004-mac.tif,1.779,0,32
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\34-GP-001.jpg,outputs\预标注候选\34-GP-001-mac.tif,0.632,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\36-CL-003.jpg,outputs\预标注候选\36-CL-003-mac.tif,0.44,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\36-CL-004.jpg,outputs\预标注候选\36-CL-004-mac.tif,0.482,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\37-MH-001.jpg,outputs\预标注候选\37-MH-001-mac.tif,0.909,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\37-MH-002.jpg,outputs\预标注候选\37-MH-002-mac.tif,1.045,0,24
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\38-CL-003.jpg,outputs\预标注候选\38-CL-003-mac.tif,0.369,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\38-CL-004.jpg,outputs\预标注候选\38-CL-004-mac.tif,0.866,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\38-FX-001.jpg,outputs\预标注候选\38-FX-001-mac.tif,0.529,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\4001-001.jpg,outputs\预标注候选\4001-001-mac.tif,1.474,0,18
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\182-001.jpg,outputs\预标注候选\182-001-mac.tif,2.446,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\182-002.jpg,outputs\预标注候选\182-002-mac.tif,2.249,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\182-003.jpg,outputs\预标注候选\182-003-mac.tif,3.567,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\190-001.jpg,outputs\预标注候选\190-001-mac.tif,2.358,0,11
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\190-002.jpg,outputs\预标注候选\190-002-mac.tif,2.693,0,13
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\190-003.jpg,outputs\预标注候选\190-003-mac.tif,2.209,0,16
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\207-003.jpg,outputs\预标注候选\207-003-mac.tif,2.418,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\211-001.jpg,outputs\预标注候选\211-001-mac.tif,2.78,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\211-002.jpg,outputs\预标注候选\211-002-mac.tif,4.096,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\211-003.jpg,outputs\预标注候选\211-003-mac.tif,2.984,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\218-003.jpg,outputs\预标注候选\218-003-mac.tif,2.909,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\224-001.jpg,outputs\预标注候选\224-001-mac.tif,2.277,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\224-002.jpg,outputs\预标注候选\224-002-mac.tif,1.805,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\229-002.jpg,outputs\预标注候选\229-002-mac.tif,2.121,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\23-002.jpg,outputs\预标注候选\23-002-mac.tif,1.045,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\230-001.jpg,outputs\预标注候选\230-001-mac.tif,2.691,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\230-003.jpg,outputs\预标注候选\230-003-mac.tif,1.522,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\245-001.jpg,outputs\预标注候选\245-001-mac.tif,1.389,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\245-003.jpg,outputs\预标注候选\245-003-mac.tif,2.265,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\258-002.jpg,outputs\预标注候选\258-002-mac.tif,1.719,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\266-002.jpg,outputs\预标注候选\266-002-mac.tif,2.349,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\270-001.jpg,outputs\预标注候选\270-001-mac.tif,2.063,0,13
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\270-003.jpg,outputs\预标注候选\270-003-mac.tif,1.521,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\275-002.jpg,outputs\预标注候选\275-002-mac.tif,1.66,0,11
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\281-001.jpg,outputs\预标注候选\281-001-mac.tif,1.954,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\281-003.jpg,outputs\预标注候选\281-003-mac.tif,2.47,0,41
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\292-002.jpg,outputs\预标注候选\292-002-mac.tif,1.984,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\296-003.jpg,outputs\预标注候选\296-003-mac.tif,2.322,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\62-001.jpg,outputs\预标注候选\62-001-mac.tif,1.659,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\74-003.jpg,outputs\预标注候选\74-003-mac.tif,1.883,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G120-001.jpg,outputs\预标注候选\G120-001-mac.tif,1.769,0,38
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G120-002.jpg,outputs\预标注候选\G120-002-mac.tif,2.196,0,26
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G120-003.jpg,outputs\预标注候选\G120-003-mac.tif,1.496,0,19
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G121-001.jpg,outputs\预标注候选\G121-001-mac.tif,1.413,0,19
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G121-002.jpg,outputs\预标注候选\G121-002-mac.tif,1.881,0,23
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G121-003.jpg,outputs\预标注候选\G121-003-mac.tif,2.396,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G176-001.jpg,outputs\预标注候选\G176-001-mac.tif,2.108,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G176-002.jpg,outputs\预标注候选\G176-002-mac.tif,2.364,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G176-003.jpg,outputs\预标注候选\G176-003-mac.tif,2.369,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G207-002.jpg,outputs\预标注候选\G207-002-mac.tif,2.506,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G218-001.jpg,outputs\预标注候选\G218-001-mac.tif,1.128,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G218-002.jpg,outputs\预标注候选\G218-002-mac.tif,0.926,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G225-003.jpg,outputs\预标注候选\G225-003-mac.tif,3.028,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G23-001.jpg,outputs\预标注候选\G23-001-mac.tif,1.968,0,27
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G23-003.jpg,outputs\预标注候选\G23-003-mac.tif,1.71,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G258-001.jpg,outputs\预标注候选\G258-001-mac.tif,2.298,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G258-003.jpg,outputs\预标注候选\G258-003-mac.tif,2.192,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G27-002.jpg,outputs\预标注候选\G27-002-mac.tif,1.338,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G27-003.jpg,outputs\预标注候选\G27-003-mac.tif,1.681,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G28-001.jpg,outputs\预标注候选\G28-001-mac.tif,1.795,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G28-002.jpg,outputs\预标注候选\G28-002-mac.tif,1.173,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G28-003.jpg,outputs\预标注候选\G28-003-mac.tif,2.011,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G281-002.jpg,outputs\预标注候选\G281-002-mac.tif,1.676,0,20
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G31-001.jpg,outputs\预标注候选\G31-001-mac.tif,2.122,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G31-002.jpg,outputs\预标注候选\G31-002-mac.tif,3.174,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G31-003.jpg,outputs\预标注候选\G31-003-mac.tif,2.987,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G74-002.jpg,outputs\预标注候选\G74-002-mac.tif,1.623,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G80-001.jpg,outputs\预标注候选\G80-001-mac.tif,2.345,8150,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G80-002.jpg,outputs\预标注候选\G80-002-mac.tif,3.264,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.12\G80-003.jpg,outputs\预标注候选\G80-003-mac.tif,3.618,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\114-003.jpg,outputs\预标注候选\114-003-mac.tif,1.681,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\134-001.jpg,outputs\预标注候选\134-001-mac.tif,3.141,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\134-003.jpg,outputs\预标注候选\134-003-mac.tif,1.27,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\146-003.jpg,outputs\预标注候选\146-003-mac.tif,3.399,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\166-001.jpg,outputs\预标注候选\166-001-mac.tif,1.934,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\185-001.jpg,outputs\预标注候选\185-001-mac.tif,1.207,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\185-002.jpg,outputs\预标注候选\185-002-mac.tif,1.932,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\185-003.jpg,outputs\预标注候选\185-003-mac.tif,1.666,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\207-001.jpg,outputs\预标注候选\207-001-mac.tif,3.087,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\220-001.jpg,outputs\预标注候选\220-001-mac.tif,1.533,0,15
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\220-002.jpg,outputs\预标注候选\220-002-mac.tif,1.416,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\225-001.jpg,outputs\预标注候选\225-001-mac.tif,1.824,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\225-002.jpg,outputs\预标注候选\225-002-mac.tif,1.752,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\229-001.jpg,outputs\预标注候选\229-001-mac.tif,2.418,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\229-003.jpg,outputs\预标注候选\229-003-mac.tif,4.065,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\230-002.jpg,outputs\预标注候选\230-002-mac.tif,2.082,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\246-001.jpg,outputs\预标注候选\246-001-mac.tif,1.783,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\246-002.jpg,outputs\预标注候选\246-002-mac.tif,1.625,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\246-003.jpg,outputs\预标注候选\246-003-mac.tif,1.734,0,12
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\266-001.jpg,outputs\预标注候选\266-001-mac.tif,2.066,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\266-003.jpg,outputs\预标注候选\266-003-mac.tif,2.003,0,14
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\270-002.jpg,outputs\预标注候选\270-002-mac.tif,1.533,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\275-001.jpg,outputs\预标注候选\275-001-mac.tif,1.384,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\296-001.jpg,outputs\预标注候选\296-001-mac.tif,3.563,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\299-002.jpg,outputs\预标注候选\299-002-mac.tif,0.993,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\299-003.jpg,outputs\预标注候选\299-003-mac.tif,1.388,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\44-002.jpg,outputs\预标注候选\44-002-mac.tif,1.885,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\44-003.jpg,outputs\预标注候选\44-003-mac.tif,2.694,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\74-001.jpg,outputs\预标注候选\74-001-mac.tif,2.072,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\91-001.jpg,outputs\预标注候选\91-001-mac.tif,1.712,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\114-B-002.jpg,outputs\预标注候选\114-B-002-mac.tif,1.441,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\126-001.jpg,outputs\预标注候选\126-001-mac.tif,4.129,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\126-002.jpg,outputs\预标注候选\126-002-mac.tif,2.748,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\126-003.jpg,outputs\预标注候选\126-003-mac.tif,3.863,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\134-002.jpg,outputs\预标注候选\134-002-mac.tif,2.654,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\136-001.jpg,outputs\预标注候选\136-001-mac.tif,2.595,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\136-002.jpg,outputs\预标注候选\136-002-mac.tif,3.484,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\136-003.jpg,outputs\预标注候选\136-003-mac.tif,2.183,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\146-001.jpg,outputs\预标注候选\146-001-mac.tif,2.169,0,21
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\146-002.jpg,outputs\预标注候选\146-002-mac.tif,2.036,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\146-B-003.jpg,outputs\预标注候选\146-B-003-mac.tif,1.731,0,22
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\160-001.jpg,outputs\预标注候选\160-001-mac.tif,2.114,0,18
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\160-002.jpg,outputs\预标注候选\160-002-mac.tif,2.557,0,45
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\160-003.jpg,outputs\预标注候选\160-003-mac.tif,2.27,0,15
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\162-001.jpg,outputs\预标注候选\162-001-mac.tif,3.724,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\162-002.jpg,outputs\预标注候选\162-002-mac.tif,2.196,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\162-B.jpg,outputs\预标注候选\162-B-mac.tif,2.072,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\166-002.jpg,outputs\预标注候选\166-002-mac.tif,2.784,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\166-003.jpg,outputs\预标注候选\166-003-mac.tif,2.884,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\220-B-004.jpg,outputs\预标注候选\220-B-004-mac.tif,1.614,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\245-002.jpg,outputs\预标注候选\245-002-mac.tif,1.746,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\299-001.jpg,outputs\预标注候选\299-001-mac.tif,2.413,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\44-B.jpg,outputs\预标注候选\44-B-mac.tif,1.968,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\52-B-002.jpg,outputs\预标注候选\52-B-002-mac.tif,1.277,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\83-B.jpg,outputs\预标注候选\83-B-mac.tif,1.6,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\88-001.jpg,outputs\预标注候选\88-001-mac.tif,3.366,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\88-002.jpg,outputs\预标注候选\88-002-mac.tif,3.037,0,12
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\88-003.jpg,outputs\预标注候选\88-003-mac.tif,2.02,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\90-001.jpg,outputs\预标注候选\90-001-mac.tif,2.403,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.15\90-002.jpg,outputs\预标注候选\90-002-mac.tif,2.466,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\00000-001.tif,outputs\预标注候选\00000-001-mac.tif,2.727,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\114-001.tif,outputs\预标注候选\114-001-mac.tif,1.524,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\169-002.tif,outputs\预标注候选\169-002-mac.tif,2.755,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\169-003.jpg,outputs\预标注候选\169-003-mac.tif,2.063,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\22-001.jpg,outputs\预标注候选\22-001-mac.tif,2.338,0,13
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\275-003.jpg,outputs\预标注候选\275-003-mac.tif,1.77,0,18
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\44-001.jpg,outputs\预标注候选\44-001-mac.tif,2.997,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\46-002.jpg,outputs\预标注候选\46-002-mac.tif,2.609,0,36
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\46-003.jpg,outputs\预标注候选\46-003-mac.tif,1.607,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\52-001.tif,outputs\预标注候选\52-001-mac.tif,2.602,0,11
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\52-002.tif,outputs\预标注候选\52-002-mac.tif,2.333,0,7
